year,continent,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1900,Africa,Drought,2,22000,0,0,0,0,0
1900,Americas,Epidemic,2,60,0,0,0,0,0
1900,Americas,Flood,2,600,0,0,0,0,0
1900,Americas,Storm,2,12000,0,0,0,0,60000
1900,Asia,Drought,2,2500000,0,0,0,0,0
1900,Asia,"Volcanic activity",2,60,0,0,0,0,0
1901,Africa,Earthquake,2,0,0,0,0,0,0
1901,Africa,Epidemic,2,400000,0,0,0,0,0
1901,Asia,Earthquake,2,36,0,0,0,0,0
1902,Americas,Earthquake,4,4370,0,0,0,0,0
1902,Americas,"Volcanic activity",8,77130,0,0,0,0,0
1902,Asia,Storm,2,1200,0,0,0,0,0
1902,Asia,"Volcanic activity",2,250,0,0,0,0,0
1902,Europe,Earthquake,2,9124,0,0,0,0,0
1903,Africa,Drought,2,0,0,0,0,0,0
1903,Africa,"Volcanic activity",2,34,0,0,0,0,0
1903,Americas,Flood,4,500,0,0,0,0,960000
1903,Americas,"Mass movement (dry)",2,152,0,46,0,46,0
1903,Americas,Storm,4,326,0,0,0,0,0
1903,Asia,Earthquake,2,12000,0,0,0,0,0
1904,Americas,Earthquake,2,0,0,0,0,0,0
1904,Asia,Storm,2,0,0,0,0,0,0
1905,Americas,"Mass movement (dry)",2,36,0,36,0,36,0
1905,Asia,Earthquake,2,40000,0,0,0,0,0
1905,Asia,Storm,2,480,0,0,0,0,0
1905,Europe,Earthquake,2,5000,0,0,0,0,0
1906,Africa,Drought,2,0,0,0,0,0,0
1906,Africa,Earthquake,2,0,0,0,0,0,13500
1906,Americas,Earthquake,12,46800,0,0,0,0,1248000
1906,Americas,Storm,4,596,0,0,0,0,0
1906,Asia,Earthquake,6,17132,0,0,0,0,0
1906,Asia,Storm,2,20000,0,0,0,0,40000
1906,Europe,Flood,4,12,0,0,0,0,0
1906,Europe,"Volcanic activity",2,1400,0,0,0,0,0
1907,Americas,Earthquake,2,2400,180000,0,0,180000,60000
